countries1,id,rate
Saudia Arabia,SAU,118
Israel,ISR,122
Austria,AUT,128
South Africa,ZAF,131
Serbia,SRB,137
Greece,GRC,142
Oman,OMN,160
Taiwan,TWN,163
Sri Lanka,LKA,169
UAE,ARE,183
Thailand,THA,183
Poland,POL,185
Norway,NOR,190
Hungary,HUN,213
Qatar,QAT,226
Singapore,SGP,228
Italy,ITA,232
Netherlends,NLD,241
UK,GBR,255
Ireland,IRL,263
Luxembourg,LUX,272
Hong Kong,HKG,294
China,CHN,309
Denmark,DNK,311
Malaysia,MYS,311
Colombia,COL,328
Switzerland,CHE,334
Papua New Guinea,PNG,350
Germany,DEU,352
Philippines,PHL,406
Belgium,BEL,406
Brazil,BRA,415
South Korea,KOR,418
Portugal,PRT,447
Spain,ESP,510
Finland,FIN,525
Canada,CAN,525
Sweden,SWE,570
New Zealand,NZL,660
USA,USA,674
France,FRA,725
Australia,AUS,728
India,IND,772
Mexico,MEX,850
Japan,JPN,905